interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
marchf9,ulbp1,human,human,3,human-human
marchf9,hsp90aa1,human,human,3,human-human
marchf9,potei,human,human,3,human-human
marchf9,atg9a,human,human,3,human-human
marchf9,icam1,human,human,3,human-human
trappc6b,trappc2,human,human,3,human-human
trappc6b,trappc2l,human,human,3,human-human
trappc6b,trappc3,human,human,3,human-human
trappc6b,trappc3l,human,human,3,human-human
trappc6b,trappc6a,human,human,3,human-human
trappc6b,trappc10,human,human,3,human-human
trappc6b,trappc8,human,human,3,human-human
trappc6b,trappc12,human,human,3,human-human
trappc6b,bcl2l14,human,human,3,human-human
trappc6b,trappc4,human,human,3,human-human
trappc6b,trappc1,human,human,3,human-human
trappc6b,trappc5,human,human,3,human-human
trappc6b,stmn4,human,human,3,human-human
trappc6b,glb1,human,human,3,human-human
trappc6b,ccdc102b,human,human,3,human-human
trappc6b,tbc1d14,human,human,3,human-human
trappc6b,kctd3,human,human,3,human-human
trappc6b,ptch1,human,human,3,human-human
trappc6b,tgoln2,human,human,3,human-human
trappc3,trappc6a,human,human,3,human-human
trappc3,trappc2l,human,human,3,human-human
trappc3,trappc8,human,human,3,human-human
trappc3,trappc13,human,human,3,human-human
trappc3,trappc11,human,human,3,human-human
trappc3,trappc1,human,human,3,human-human
trappc3,trappc2,human,human,3,human-human
trappc3,trappc5,human,human,3,human-human
trappc3,trappc6b,human,human,3,human-human
trappc3,app,human,human,3,human-human
trappc3,lig4,human,human,3,human-human
trappc3,vcam1,human,human,3,human-human
trappc3,egfr,human,human,3,human-human
trappc3,cdc45,human,human,3,human-human
trappc3,amotl2,human,human,3,human-human
trappc3,plekhf2,human,human,3,human-human
trappc3,sult1a2,human,human,3,human-human
trappc3,bcl2l14,human,human,3,human-human
trappc3,lypd3,human,human,3,human-human
trappc3,trappc12,human,human,3,human-human
trappc3,cabs1,human,human,3,human-human
trappc3,trappc4,human,human,3,human-human
trappc3,stmn4,human,human,3,human-human
trappc3,tbc1d14,human,human,3,human-human
trappc3,kank4,human,human,3,human-human
trappc3,glb1,human,human,3,human-human
trappc3,ccdc102b,human,human,3,human-human
trappc3,trappc9,human,human,3,human-human
trappc3,trappc10,human,human,3,human-human
trappc3,rab3ip,human,human,3,human-human
trappc3,tmem102,human,human,3,human-human
trappc3,mb21d2,human,human,3,human-human
trappc3,pdlim7,human,human,3,human-human
trappc3,rab3il1,human,human,3,human-human
trappc3,trim25,human,human,3,human-human
trappc3,eftud2,human,human,3,human-human
trappc3,recql4,human,human,3,human-human
trappc3,tgoln2,human,human,3,human-human
trappc3,lamp1,human,human,3,human-human
trappc3,rab11a,human,human,3,human-human
trappc3,lmbr1l,human,human,3,human-human
trappc3,hscb,human,human,3,human-human
trappc3,kif14,human,human,3,human-human
trappc3,fasn,human,human,3,human-human
dkk1,mdfi,human,human,3,human-human
dkk1,coro1a,human,human,3,human-human
dkk1,smad9,human,human,3,human-human
dkk1,lrp5,human,human,3,human-human
dkk1,lrp6,human,human,3,human-human
dkk1,dpp4,human,human,3,human-human
dkk1,krtap10-1,human,human,3,human-human
dkk1,potei,human,human,3,human-human
dkk1,psmd13,human,human,3,human-human
dkk1,rbm45,human,human,3,human-human
dkk1,psmd6,human,human,3,human-human
dkk1,tk2,human,human,3,human-human
dkk1,fbln1,human,human,3,human-human
dkk1,amz2,human,human,3,human-human
dkk1,ctnnb1,human,human,3,human-human
dkk1,ckap4,human,human,3,human-human
dkk1,egfr,human,human,3,human-human
nhlrc1,agl,human,human,3,human-human
nhlrc1,gys1,human,human,3,human-human
nhlrc1,ppp1r3c,human,human,3,human-human
nhlrc1,dvl2,human,human,3,human-human
nhlrc1,nnat,human,human,3,human-human
nhlrc1,stub1,human,human,3,human-human
nhlrc1,hspa4,human,human,3,human-human
nhlrc1,prdm8,human,human,3,human-human
nhlrc1,ube2d3,human,human,3,human-human
nhlrc1,hsp90aa1,human,human,3,human-human
nhlrc1,ube2h,human,human,3,human-human
nhlrc1,ube2d1,human,human,3,human-human
nhlrc1,ube2e1,human,human,3,human-human
nhlrc1,ube2n,human,human,3,human-human
naprt,aprt,human,human,3,human-human
naprt,hspa8,human,human,3,human-human
naprt,hnrnpk,human,human,3,human-human
naprt,ppp5c,human,human,3,human-human
naprt,rps6ka3,human,human,3,human-human
naprt,nol3,human,human,3,human-human
naprt,pafah1b2,human,human,3,human-human
naprt,rasal1,human,human,3,human-human
naprt,ehmt2,human,human,3,human-human
naprt,rbpms,human,human,3,human-human
naprt,gramd2b,human,human,3,human-human
naprt,krt40,human,human,3,human-human
naprt,ccdc57,human,human,3,human-human
naprt,armt1,human,human,3,human-human
naprt,eef1a1,human,human,3,human-human
naprt,acly,human,human,3,human-human
naprt,dhrs11,human,human,3,human-human
naprt,eif2a,human,human,3,human-human
naprt,ide,human,human,3,human-human
naprt,lrrc47,human,human,3,human-human
naprt,lta4h,human,human,3,human-human
naprt,nampt,human,human,3,human-human
naprt,nenf,human,human,3,human-human
naprt,shmt2,human,human,3,human-human
naprt,txnrd1,human,human,3,human-human
naprt,usp14,human,human,3,human-human
naprt,nif3l1,human,human,3,human-human
naprt,sec13,human,human,3,human-human
naprt,sec31a,human,human,3,human-human
naprt,tcea1,human,human,3,human-human
naprt,tnrc6c,human,human,3,human-human
naprt,trmt112,human,human,3,human-human
naprt,igbp1,human,human,3,human-human
naprt,etnk1,human,human,3,human-human
naprt,lnpep,human,human,3,human-human
naprt,apex1,human,human,3,human-human
naprt,map2k3,human,human,3,human-human
naprt,mmgt1,human,human,3,human-human
afm,mtmr14,human,human,3,human-human
afm,potei,human,human,3,human-human
afm,gbp1,human,human,3,human-human
afm,actbl2,human,human,3,human-human
afm,acta2,human,human,3,human-human
afm,tnfaip3,human,human,3,human-human
afm,tradd,human,human,3,human-human
afm,trim55,human,human,3,human-human
tmem102,ywhag,human,human,3,human-human
tmem102,rab3il1,human,human,3,human-human
tmem102,pcmt1,human,human,3,human-human
tmem102,gdf5,human,human,3,human-human
tmem102,traf2,human,human,3,human-human
tmem102,zc3h3,human,human,3,human-human
tmem102,rab3ip,human,human,3,human-human
tmem102,trappc9,human,human,3,human-human
tmem102,trappc10,human,human,3,human-human
tmem102,trappc3,human,human,3,human-human
tmem102,trappc4,human,human,3,human-human
tmem102,trappc1,human,human,3,human-human
tmem102,trappc2l,human,human,3,human-human
tmem102,pdlim7,human,human,3,human-human
tmem102,mb21d2,human,human,3,human-human
tmem102,virma,human,human,3,human-human
tmem102,slc12a4,human,human,3,human-human
cap2,cap1,human,human,3,human-human
cap2,actg1,human,human,3,human-human
cap2,ywhae,human,human,3,human-human
cap2,prpf40a,human,human,3,human-human
cap2,arhgef1,human,human,3,human-human
cap2,csnk2a2,human,human,3,human-human
cap2,mcm4,human,human,3,human-human
cap2,nckap1,human,human,3,human-human
cap2,actb,human,human,3,human-human
cap2,cfl2,human,human,3,human-human
cap2,egfr,human,human,3,human-human
cap2,cfl1,human,human,3,human-human
cap2,med4,human,human,3,human-human
cap2,med23,human,human,3,human-human
cap2,potei,human,human,3,human-human
cap2,twf2,human,human,3,human-human
cap2,bcl7a,human,human,3,human-human
cap2,bcl7c,human,human,3,human-human
cap2,acta2,human,human,3,human-human
cap2,actbl2,human,human,3,human-human
cap2,styx,human,human,3,human-human
cap2,hnrnpl,human,human,3,human-human
cap2,virma,human,human,3,human-human
cap2,actc1,human,human,3,human-human
cap2,apex1,human,human,3,human-human
cap2,alas1,human,human,3,human-human
cap2,ado,human,human,3,human-human
cap2,grxcr1,human,human,3,human-human
ccdc40,app,human,human,3,human-human
ccdc40,traf5,human,human,3,human-human
ccdc40,ankrd26,human,human,3,human-human
ccdc40,unc13b,human,human,3,human-human
ccdc40,cenph,human,human,3,human-human
ccdc40,hmmr,human,human,3,human-human
ccdc40,vps53,human,human,3,human-human
ccdc40,tnip2,human,human,3,human-human
ccdc40,cog4,human,human,3,human-human
ccdc40,fam83d,human,human,3,human-human
ccdc40,stim1,human,human,3,human-human
ccdc40,tmtc4,human,human,3,human-human
ccdc40,psmc3,human,human,3,human-human
ccdc40,kiaa0319l,human,human,3,human-human
ccdc40,cyth2,human,human,3,human-human
ccdc40,cyth1,human,human,3,human-human
ccdc40,pcm1,human,human,3,human-human
ccdc40,potei,human,human,3,human-human
ccdc40,psmd9,human,human,3,human-human
ccdc40,gtf2h2c,human,human,3,human-human
ccdc40,vapb,human,human,3,human-human
ccdc40,vapa,human,human,3,human-human
ccdc40,pacrg,human,human,3,human-human
ccdc40,ift122,human,human,3,human-human
ccdc40,dcaf7,human,human,3,human-human
ccdc40,ift43,human,human,3,human-human
ccdc40,ttc21b,human,human,3,human-human
ccdc40,hnrnpc,human,human,3,human-human
ccdc40,cit,human,human,3,human-human
rab30,eif5a2,human,human,3,human-human
rab30,cdc73,human,human,3,human-human
rab30,htt,human,human,3,human-human
rab30,chml,human,human,3,human-human
rab30,f8a3,human,human,3,human-human
rab30,chm,human,human,3,human-human
rab30,usp4,human,human,3,human-human
rab30,d2hgdh,human,human,3,human-human
rab30,rangrf,human,human,3,human-human
rab30,uhrf1bp1,human,human,3,human-human
rab30,phldb3,human,human,3,human-human
rab30,trappc10,human,human,3,human-human
rab30,trappc9,human,human,3,human-human
rab30,vps13c,human,human,3,human-human
rab30,vasp,human,human,3,human-human
rab30,acox1,human,human,3,human-human
rab30,trappc4,human,human,3,human-human
rab30,dph1,human,human,3,human-human
rab30,dtna,human,human,3,human-human
rab30,ubb,human,human,3,human-human
rab30,xpnpep1,human,human,3,human-human
rab30,llgl2,human,human,3,human-human
rab30,rabggta,human,human,3,human-human
rab30,cog4,human,human,3,human-human
rab30,hexim1,human,human,3,human-human
rab30,ncoa5,human,human,3,human-human
rab30,agtrap,human,human,3,human-human
trappc8,tecpr1,human,human,3,human-human
trappc8,trappc3,human,human,3,human-human
trappc8,trappc13,human,human,3,human-human
trappc8,trappc2l,human,human,3,human-human
trappc8,trappc2,human,human,3,human-human
trappc8,trappc11,human,human,3,human-human
trappc8,trappc12,human,human,3,human-human
trappc8,trappc10,human,human,3,human-human
trappc8,trappc3l,human,human,3,human-human
trappc8,trappc4,human,human,3,human-human
trappc8,trappc9,human,human,3,human-human
trappc8,trappc6b,human,human,3,human-human
trappc8,bard1,human,human,3,human-human
trappc8,paxip1,human,human,3,human-human
trappc8,acat2,human,human,3,human-human
