interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
ehd1,orf3a,human,virus,4,human-virus
trappc4,orf3a,human,virus,4,human-virus
tulp3,orf3a,human,virus,4,human-virus
kif20a,orf6,human,virus,4,human-virus
gdpd1,orf7b,human,virus,4,human-virus
pom121,orf7b,human,virus,4,human-virus
rae1,orf7b,human,virus,4,human-virus
ehd4,s,human,virus,4,human-virus
tulp3,s,human,virus,4,human-virus
ehd1,nsp4,human,virus,4,human-virus
esd,orf3b,human,virus,4,human-virus
fn1,nsp6,human,virus,4,human-virus
mtmr14,orf7b,human,virus,4,human-virus
tulp3,orf7b,human,virus,4,human-virus
umps,m,human,virus,4,human-virus
umps,orf7b,human,virus,4,human-virus
herc2,nsp16,human,virus,4,human-virus
ube3a,nsp16,human,virus,4,human-virus
ppp1cc,genomic,human,virus,4,human-virus
mov10,genomic,human,virus,4,human-virus
hnrnpa1,genomic,human,virus,4,human-virus
ppp1cb,genomic,human,virus,4,human-virus
coro1c,genomic,human,virus,4,human-virus
dazap1,genomic,human,virus,4,human-virus
elavl1,genomic,human,virus,4,human-virus
hnrnpc,genomic,human,virus,4,human-virus
hnrnph1,genomic,human,virus,4,human-virus
hnrnpl,genomic,human,virus,4,human-virus
ppp1ca,genomic,human,virus,4,human-virus
nxf1,s,human,virus,4,human-virus
elavl1,orf8,human,virus,4,human-virus
fn1,orf8,human,virus,4,human-virus
elavl1,n,human,virus,4,human-virus
esd,n,human,virus,4,human-virus
ggt1,n,human,virus,4,human-virus
adss2,n,human,virus,4,human-virus
