interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
immt,nsp3,human,virus,4,human-virus
rcn2,orf10,human,virus,4,human-virus
immt,orf10,human,virus,4,human-virus
hspa5,nsp2,human,virus,4,human-virus
vkorc1,nsp4,human,virus,4,human-virus
magt1,nsp4,human,virus,4,human-virus
prmt5,e,human,virus,4,human-virus
pdxdc1,e,human,virus,4,human-virus
mthfd1l,e,human,virus,4,human-virus
gorasp2,e,human,virus,4,human-virus
hspa8,e,human,virus,4,human-virus
hspd1,e,human,virus,4,human-virus
app,e,human,virus,4,human-virus
magt1,e,human,virus,4,human-virus
myadm,e,human,virus,4,human-virus
prmt5,m,human,virus,4,human-virus
pdxdc1,m,human,virus,4,human-virus
gorasp2,m,human,virus,4,human-virus
hspa8,m,human,virus,4,human-virus
app,m,human,virus,4,human-virus
pfn1,m,human,virus,4,human-virus
pfn2,m,human,virus,4,human-virus
heatr1,m,human,virus,4,human-virus
rap1a,m,human,virus,4,human-virus
rpl38,m,human,virus,4,human-virus
magt1,m,human,virus,4,human-virus
aifm1,m,human,virus,4,human-virus
myadm,m,human,virus,4,human-virus
srpk2,n,human,virus,4,human-virus
prmt5,nsp13,human,virus,4,human-virus
fam83h,nsp13,human,virus,4,human-virus
magt1,nsp13,human,virus,4,human-virus
myadm,nsp13,human,virus,4,human-virus
prmt5,nsp14,human,virus,4,human-virus
magt1,nsp14,human,virus,4,human-virus
myadm,nsp14,human,virus,4,human-virus
prmt5,nsp4,human,virus,4,human-virus
arfgef2,nsp4,human,virus,4,human-virus
arfgef1,nsp4,human,virus,4,human-virus
immt,nsp4,human,virus,4,human-virus
erbb2,nsp4,human,virus,4,human-virus
pdxdc1,nsp4,human,virus,4,human-virus
gorasp2,nsp4,human,virus,4,human-virus
hspa8,nsp4,human,virus,4,human-virus
app,nsp4,human,virus,4,human-virus
pfn1,nsp4,human,virus,4,human-virus
aifm1,nsp4,human,virus,4,human-virus
myadm,nsp4,human,virus,4,human-virus
prmt5,nsp5,human,virus,4,human-virus
rnf213,nsp5,human,virus,4,human-virus
magt1,nsp5,human,virus,4,human-virus
myadm,nsp5,human,virus,4,human-virus
prmt5,nsp6,human,virus,4,human-virus
immt,nsp6,human,virus,4,human-virus
pdxdc1,nsp6,human,virus,4,human-virus
gorasp2,nsp6,human,virus,4,human-virus
app,nsp6,human,virus,4,human-virus
pfn1,nsp6,human,virus,4,human-virus
heatr1,nsp6,human,virus,4,human-virus
rap1a,nsp6,human,virus,4,human-virus
traf2,nsp6,human,virus,4,human-virus
tufm,nsp6,human,virus,4,human-virus
ca8,nsp6,human,virus,4,human-virus
magt1,nsp6,human,virus,4,human-virus
aifm1,nsp6,human,virus,4,human-virus
myadm,nsp6,human,virus,4,human-virus
nup93,nsp6,human,virus,4,human-virus
ubr3,nsp7,human,virus,4,human-virus
ubr3,nsp8,human,virus,4,human-virus
dyrk1a,nsp8,human,virus,4,human-virus
brca2,nsp8,human,virus,4,human-virus
heatr1,nsp9,human,virus,4,human-virus
pes1,orf14,human,virus,4,human-virus
hnrnpl,orf14,human,virus,4,human-virus
heatr1,orf14,human,virus,4,human-virus
brca2,orf14,human,virus,4,human-virus
chd9,orf14,human,virus,4,human-virus
myadm,orf14,human,virus,4,human-virus
prmt5,orf3a,human,virus,4,human-virus
erbb2,orf3a,human,virus,4,human-virus
pdxdc1,orf3a,human,virus,4,human-virus
gorasp2,orf3a,human,virus,4,human-virus
magt1,orf3a,human,virus,4,human-virus
hgs,orf3a,human,virus,4,human-virus
myadm,orf3a,human,virus,4,human-virus
arfgef2,orf3b,human,virus,4,human-virus
arfgef1,orf3b,human,virus,4,human-virus
pdxdc1,orf3b,human,virus,4,human-virus
gorasp2,orf3b,human,virus,4,human-virus
app,orf3b,human,virus,4,human-virus
hgs,orf3b,human,virus,4,human-virus
myadm,orf3b,human,virus,4,human-virus
prmt5,orf6,human,virus,4,human-virus
pdxdc1,orf6,human,virus,4,human-virus
gorasp2,orf6,human,virus,4,human-virus
myadm,orf6,human,virus,4,human-virus
nup93,orf6,human,virus,4,human-virus
prmt5,orf7a,human,virus,4,human-virus
erbb2,orf7a,human,virus,4,human-virus
pdxdc1,orf7a,human,virus,4,human-virus
gorasp2,orf7a,human,virus,4,human-virus
app,orf7a,human,virus,4,human-virus
magt1,orf7a,human,virus,4,human-virus
hgs,orf7a,human,virus,4,human-virus
myadm,orf7a,human,virus,4,human-virus
prmt5,orf7b,human,virus,4,human-virus
arfgef2,orf7b,human,virus,4,human-virus
arfgef1,orf7b,human,virus,4,human-virus
pdxdc1,orf7b,human,virus,4,human-virus
app,orf7b,human,virus,4,human-virus
magt1,orf7b,human,virus,4,human-virus
hgs,orf7b,human,virus,4,human-virus
myadm,orf7b,human,virus,4,human-virus
b4gat1,orf8,human,virus,4,human-virus
gorasp2,orf8,human,virus,4,human-virus
grn,orf8,human,virus,4,human-virus
hspa5,orf8,human,virus,4,human-virus
app,orf8,human,virus,4,human-virus
rcn2,orf8,human,virus,4,human-virus
tufm,orf8,human,virus,4,human-virus
magt1,orf8,human,virus,4,human-virus
aldh2,orf9b,human,virus,4,human-virus
mthfd1l,orf9b,human,virus,4,human-virus
hspd1,orf9b,human,virus,4,human-virus
mtx3,orf9b,human,virus,4,human-virus
tufm,orf9b,human,virus,4,human-virus
aifm1,orf9b,human,virus,4,human-virus
lonp1,orf9b,human,virus,4,human-virus
erbb2,s,human,virus,4,human-virus
pdxdc1,s,human,virus,4,human-virus
gorasp2,s,human,virus,4,human-virus
myadm,s,human,virus,4,human-virus
aldh2,e,human,virus,4,human-virus
pomt1,e,human,virus,4,human-virus
rcn2,e,human,virus,4,human-virus
usp7,e,human,virus,4,human-virus
ephb4,m,human,virus,4,human-virus
erbb2,m,human,virus,4,human-virus
hgs,m,human,virus,4,human-virus
obsl1,m,human,virus,4,human-virus
snx27,m,human,virus,4,human-virus
usp20,m,human,virus,4,human-virus
usp7,m,human,virus,4,human-virus
stau1,n,human,virus,4,human-virus
eif3d,nsp1,human,virus,4,human-virus
ago2,nsp12,human,virus,4,human-virus
aldh2,nsp12,human,virus,4,human-virus
hspa8,nsp12,human,virus,4,human-virus
nudcd3,nsp12,human,virus,4,human-virus
tnip1,nsp12,human,virus,4,human-virus
cep76,nsp13,human,virus,4,human-virus
poc1b,nsp13,human,virus,4,human-virus
acot8,nsp14,human,virus,4,human-virus
ago2,nsp16,human,virus,4,human-virus
aldh2,nsp16,human,virus,4,human-virus
elob,nsp16,human,virus,4,human-virus
heatr6,nsp16,human,virus,4,human-virus
hgs,nsp16,human,virus,4,human-virus
nudcd3,nsp16,human,virus,4,human-virus
poc1b,nsp16,human,virus,4,human-virus
tsc22d4,nsp16,human,virus,4,human-virus
ltn1,nsp2,human,virus,4,human-virus
rnf213,nsp2,human,virus,4,human-virus
swap70,nsp2,human,virus,4,human-virus
cobl,nsp3,human,virus,4,human-virus
ltn1,nsp3,human,virus,4,human-virus
nek4,nsp3,human,virus,4,human-virus
ephb4,nsp4,human,virus,4,human-virus
hgs,nsp4,human,virus,4,human-virus
pomt1,nsp4,human,virus,4,human-virus
usp20,nsp4,human,virus,4,human-virus
usp7,nsp4,human,virus,4,human-virus
aldh2,nsp5,human,virus,4,human-virus
myh10,nsp6,human,virus,4,human-virus
rnf213,nsp6,human,virus,4,human-virus
usp20,nsp6,human,virus,4,human-virus
brca2,nsp7,human,virus,4,human-virus
heatr6,nsp7,human,virus,4,human-virus
nif3l1,nsp7,human,virus,4,human-virus
stau1,nsp7,human,virus,4,human-virus
tnip1,nsp7,human,virus,4,human-virus
tsc22d4,nsp7,human,virus,4,human-virus
h1-2,nsp8,human,virus,4,human-virus
myh10,nsp9,human,virus,4,human-virus
rpl38,nsp9,human,virus,4,human-virus
lonp1,orf14,human,virus,4,human-virus
ephb4,orf3a,human,virus,4,human-virus
h1-2,orf3b,human,virus,4,human-virus
pomt1,orf7a,human,virus,4,human-virus
tarbp1,orf7a,human,virus,4,human-virus
usp7,orf7a,human,virus,4,human-virus
acot8,orf7b,human,virus,4,human-virus
ephb4,orf7b,human,virus,4,human-virus
pomt1,orf7b,human,virus,4,human-virus
snx27,orf7b,human,virus,4,human-virus
usp7,orf7b,human,virus,4,human-virus
bud31,orf8,human,virus,4,human-virus
dlg3,orf8,human,virus,4,human-virus
h1-2,orf8,human,virus,4,human-virus
rpl38,orf8,human,virus,4,human-virus
ephb4,s,human,virus,4,human-virus
hgs,s,human,virus,4,human-virus
obsl1,s,human,virus,4,human-virus
snx27,s,human,virus,4,human-virus
anxa1,orf8,human,virus,4,human-virus
fn1,nsp6,human,virus,4,human-virus
gorasp2,orf9b,human,virus,4,human-virus
hspa5,e,human,virus,4,human-virus
hspa5,orf7a,human,virus,4,human-virus
hspa5,s,human,virus,4,human-virus
immt,orf9b,human,virus,4,human-virus
immt,s,human,virus,4,human-virus
magt1,s,human,virus,4,human-virus
magt1,orf6,human,virus,4,human-virus
pik3r1,orf7b,human,virus,4,human-virus
rap1a,orf3b,human,virus,4,human-virus
rap1a,orf7b,human,virus,4,human-virus
rap1a,orf9b,human,virus,4,human-virus
rap1a,orf3a,human,virus,4,human-virus
rap1a,orf7a,human,virus,4,human-virus
snx27,orf7a,human,virus,4,human-virus
snx27,orf3b,human,virus,4,human-virus
snx27,e,human,virus,4,human-virus
snx27,orf6,human,virus,4,human-virus
st7,e,human,virus,4,human-virus
st7,m,human,virus,4,human-virus
st7,orf7a,human,virus,4,human-virus
st7,s,human,virus,4,human-virus
st7,orf8,human,virus,4,human-virus
st7,orf6,human,virus,4,human-virus
st7,nsp6,human,virus,4,human-virus
st7,nsp4,human,virus,4,human-virus
ufsp2,orf7b,human,virus,4,human-virus
ufsp2,orf7a,human,virus,4,human-virus
ufsp2,e,human,virus,4,human-virus
ufsp2,orf8,human,virus,4,human-virus
ufsp2,m,human,virus,4,human-virus
ufsp2,nsp3,human,virus,4,human-virus
ufsp2,nsp6,human,virus,4,human-virus
ufsp2,nsp4,human,virus,4,human-virus
anxa1,genomic,human,virus,4,human-virus
hnrnpk,genomic,human,virus,4,human-virus
hnrnpl,genomic,human,virus,4,human-virus
khdrbs1,genomic,human,virus,4,human-virus
sfpq,genomic,human,virus,4,human-virus
rbm10,genomic,human,virus,4,human-virus
rap1a,genomic,human,virus,4,human-virus
cul3,orf8,human,virus,4,human-virus
fn1,orf8,human,virus,4,human-virus
lonp1,orf8,human,virus,4,human-virus
mvp,orf8,human,virus,4,human-virus
usp7,orf8,human,virus,4,human-virus
hgs,n,human,virus,4,human-virus
pls3,n,human,virus,4,human-virus
rpl38,n,human,virus,4,human-virus
mvp,n,human,virus,4,human-virus
